"","P5_4","P5_5","P6_1","P6_2","P6_5","P7_2","P8_1","P13_13","P13_14","P13_15","P13_16","P3_4","P5_6","P7_4","P7_5","P11_1","P11_2","P11_3","P11_4","P11_5","P13_5","P13_6","P13_7","P13_8","P9_1","P9_2","P9_3","P9_4","P9_5","P9_6"
"P5_4",NA,0,0,0,0,0,0,0.15,0.357,0.171,0.353,0,0,0,0,0,0,0.001,0,0,0.112,0.607,0.037,0.221,0,0,0,0,0,0
"P5_5",0,NA,0,0,0,0,0,0.067,0.217,0.029,0.264,0.002,0,0,0.001,0.013,0.025,0.298,0.061,0,0.052,0.007,0.018,0.318,0,0,0,0.001,0.009,0.015
"P6_1",0,0,NA,0,0,0,0,0.002,0.001,0.002,0.008,0.001,0,0,0,0,0,0.002,0.006,0,0.166,0.14,0.106,0.414,0,0,0,0,0,0
"P6_2",0,0,0,NA,0,0,0.001,0.416,0.366,0.282,0.644,0.035,0.004,0,0,0.206,0.01,0,0.009,0.003,0.064,0.277,0.34,0.893,0,0.002,0.018,0.014,0,0.009
"P6_5",0,0,0,0,NA,0,0,0.007,0.017,0.044,0.052,0.001,0,0,0,0.018,0,0.003,0.001,0,0.366,0.04,0.01,0.216,0.003,0,0,0.036,0,0.004
"P7_2",0,0,0,0,0,NA,0,0.006,0.01,0.001,0.004,0,0,0,0,0,0,0,0,0,0.034,0.155,0.033,0.275,0,0,0,0,0,0
"P8_1",0,0,0,0.001,0,0,NA,0.059,0.192,0.026,0.1,0.119,0,0,0,0.001,0,0.003,0,0,0.494,0.139,0.022,0.435,0,0,0,0,0,0
"P13_13",0.15,0.067,0.002,0.416,0.007,0.006,0.059,NA,0,0,0,0.428,0.236,0.001,0.058,0.002,0.001,0.103,0.109,0.009,0,0,0,0,0.006,0,0.003,0.01,0.003,0.008
"P13_14",0.357,0.217,0.001,0.366,0.017,0.01,0.192,0,NA,0,0,0.406,0.119,0.082,0.871,0.012,0,0.164,0.096,0.006,0,0,0,0,0.056,0.002,0.003,0.052,0.027,0.025
"P13_15",0.171,0.029,0.002,0.282,0.044,0.001,0.026,0,0,NA,0,0.102,0.156,0.125,0.272,0.007,0,0.798,0.061,0.001,0,0,0,0,0.001,0.001,0.056,0.05,0.044,0.014
"P13_16",0.353,0.264,0.008,0.644,0.052,0.004,0.1,0,0,0,NA,0.772,0.227,0.007,0.316,0.022,0,0.638,0.074,0.038,0,0,0,0,0.005,0.023,0.031,0.025,0.01,0.001
"P3_4",0,0.002,0.001,0.035,0.001,0,0.119,0.428,0.406,0.102,0.772,NA,0.003,0.001,0.009,0.003,0.002,0.001,0.008,0.001,0.679,0.427,0.843,0.216,0.188,0.084,0.237,0.179,0.046,0
"P5_6",0,0,0,0.004,0,0,0,0.236,0.119,0.156,0.227,0.003,NA,0,0,0,0,0,0,0,0.287,0.616,0.08,0.35,0,0,0,0,0,0.009
"P7_4",0,0,0,0,0,0,0,0.001,0.082,0.125,0.007,0.001,0,NA,0,0,0,0,0,0,0.018,0,0.005,0.039,0,0,0,0,0,0
"P7_5",0,0.001,0,0,0,0,0,0.058,0.871,0.272,0.316,0.009,0,0,NA,0,0,0,0,0,0.142,0.049,0.01,0.067,0,0,0,0,0,0
"P11_1",0,0.013,0,0.206,0.018,0,0.001,0.002,0.012,0.007,0.022,0.003,0,0,0,NA,0,0,0,0,0.394,0.079,0.014,0.035,0,0,0,0,0,0
"P11_2",0,0.025,0,0.01,0,0,0,0.001,0,0,0,0.002,0,0,0,0,NA,0,0,0,0.095,0.011,0.008,0.294,0.001,0,0,0,0,0
"P11_3",0.001,0.298,0.002,0,0.003,0,0.003,0.103,0.164,0.798,0.638,0.001,0,0,0,0,0,NA,0,0,0.282,0.641,0.419,0.423,0.004,0.003,0,0.014,0,0
"P11_4",0,0.061,0.006,0.009,0.001,0,0,0.109,0.096,0.061,0.074,0.008,0,0,0,0,0,0,NA,0,0.097,0.517,0.133,0.382,0,0,0.007,0,0,0
"P11_5",0,0,0,0.003,0,0,0,0.009,0.006,0.001,0.038,0.001,0,0,0,0,0,0,0,NA,0,0.073,0.002,0.009,0,0,0,0,0,0
"P13_5",0.112,0.052,0.166,0.064,0.366,0.034,0.494,0,0,0,0,0.679,0.287,0.018,0.142,0.394,0.095,0.282,0.097,0,NA,0,0,0,0.025,0.056,0.026,0.352,0.002,0.081
"P13_6",0.607,0.007,0.14,0.277,0.04,0.155,0.139,0,0,0,0,0.427,0.616,0,0.049,0.079,0.011,0.641,0.517,0.073,0,NA,0,0,0.365,0.169,0.058,0.097,0.214,0.525
"P13_7",0.037,0.018,0.106,0.34,0.01,0.033,0.022,0,0,0,0,0.843,0.08,0.005,0.01,0.014,0.008,0.419,0.133,0.002,0,0,NA,0,0.046,0.054,0.08,0.02,0.105,0.451
"P13_8",0.221,0.318,0.414,0.893,0.216,0.275,0.435,0,0,0,0,0.216,0.35,0.039,0.067,0.035,0.294,0.423,0.382,0.009,0,0,0,NA,0.356,0.096,0.045,0.306,0.022,0.215
"P9_1",0,0,0,0,0.003,0,0,0.006,0.056,0.001,0.005,0.188,0,0,0,0,0.001,0.004,0,0,0.025,0.365,0.046,0.356,NA,0,0,0,0,0
"P9_2",0,0,0,0.002,0,0,0,0,0.002,0.001,0.023,0.084,0,0,0,0,0,0.003,0,0,0.056,0.169,0.054,0.096,0,NA,0,0,0,0
"P9_3",0,0,0,0.018,0,0,0,0.003,0.003,0.056,0.031,0.237,0,0,0,0,0,0,0.007,0,0.026,0.058,0.08,0.045,0,0,NA,0,0,0
"P9_4",0,0.001,0,0.014,0.036,0,0,0.01,0.052,0.05,0.025,0.179,0,0,0,0,0,0.014,0,0,0.352,0.097,0.02,0.306,0,0,0,NA,0,0
"P9_5",0,0.009,0,0,0,0,0,0.003,0.027,0.044,0.01,0.046,0,0,0,0,0,0,0,0,0.002,0.214,0.105,0.022,0,0,0,0,NA,0
"P9_6",0,0.015,0,0.009,0.004,0,0,0.008,0.025,0.014,0.001,0,0.009,0,0,0,0,0,0,0,0.081,0.525,0.451,0.215,0,0,0,0,0,NA
