"","P5_1","P5_2","P5_3","P6_3","P6_4","P7_1","P7_3","P8_2","P13_9","P13_11","P3_1","P3_2","P3_3","P3_5","P3_6","P3_7","P3_8","P8_3","P8_4","P8_5","P13_1","P13_2","P13_3","P13_4","P9_1","P9_2","P9_3","P9_4","P9_5","P9_6"
"P5_1",NA,0,0,0.002,0,0.007,0.001,0.069,0.178,0.013,0.007,0.169,0.153,0.048,0.034,0,0.178,0.043,0.015,0.053,0.099,0.149,0.004,0.086,0.001,0.027,0.233,0.084,0.13,0
"P5_2",0,NA,0,0.185,0,0.001,0.01,0.004,0.119,0.007,0.01,0.195,0.101,0.199,0.277,0.094,0.07,0.003,0.005,0.007,0.052,0.006,0.012,0.069,0,0,0.011,0.01,0.067,0.003
"P5_3",0,0,NA,0,0,0.002,0,0.146,0.236,0.045,0.01,0.022,0.177,0.001,0.001,0.002,0.35,0.002,0.013,0.002,0.086,0.345,0.026,0.312,0,0,0,0.001,0,0.003
"P6_3",0.002,0.185,0,NA,0,0,0,0,0.079,0.005,0.031,0,0.387,0.001,0,0,0.171,0,0,0,0.304,0.72,0.17,0.429,0,0,0,0,0,0
"P6_4",0,0,0,0,NA,0,0,0,0.266,0.05,0.005,0.277,0.127,0.009,0.019,0.005,0.054,0,0,0.003,0.175,0.042,0.043,0.164,0.001,0,0,0,0,0
"P7_1",0.007,0.001,0.002,0,0,NA,0,0,0.013,0.002,0.001,0.005,0.072,0.007,0.026,0,0.483,0,0,0,0.002,0.171,0.021,0.015,0,0,0,0,0,0
"P7_3",0.001,0.01,0,0,0,0,NA,0,0.025,0.001,0.016,0.05,0.674,0.032,0.02,0.002,0.007,0,0,0,0.173,0.092,0.108,0.127,0,0,0,0,0,0
"P8_2",0.069,0.004,0.146,0,0,0,0,NA,0.385,0.002,0.041,0.001,0.035,0,0.015,0.001,0.122,0,0,0,0.313,0.233,0.018,0.088,0,0,0,0,0,0
"P13_9",0.178,0.119,0.236,0.079,0.266,0.013,0.025,0.385,NA,0,0.299,0.509,0.13,0.294,0.435,0.009,0.735,0.541,0.35,0.201,0,0,0,0,0.001,0,0.108,0.08,0.078,0.001
"P13_11",0.013,0.007,0.045,0.005,0.05,0.002,0.001,0.002,0,NA,0.191,0.125,0.028,0.557,0.337,0.044,0.771,0.174,0.433,0.052,0,0,0,0,0.005,0.002,0.058,0.049,0.018,0.036
"P3_1",0.007,0.01,0.01,0.031,0.005,0.001,0.016,0.041,0.299,0.191,NA,0,0,0,0,0,0.077,0,0.001,0.021,0.701,0.27,0.51,0.849,0.003,0.159,0.003,0,0.067,0.021
"P3_2",0.169,0.195,0.022,0,0.277,0.005,0.05,0.001,0.509,0.125,0,NA,0,0,0,0,0.001,0.002,0.327,0.116,0.12,0.265,0.129,0.733,0.037,0.028,0.001,0,0.018,0
