"","P5_4","P5_5","P6_1","P6_2","P6_5","P7_2","P8_1","P13_13","P13_14","P13_15","P13_16","P3_4","P5_6","P7_4","P7_5","P11_1","P11_2","P11_3","P11_4","P11_5","P13_5","P13_6","P13_7","P13_8","P9_1","P9_2","P9_3","P9_4","P9_5","P9_6"
"P5_4",1,0.41,0.504,0.343,0.398,0.464,0.563,0.21,0.188,0.207,0.188,0.356,0.618,0.416,0.395,0.372,0.572,0.287,0.292,0.303,0.216,0.167,0.235,0.201,0.37,0.447,0.389,0.379,0.555,0.292
"P5_5",0.41,1,0.346,0.293,0.466,0.322,0.292,0.225,0.201,0.239,0.196,0.29,0.321,0.301,0.285,0.261,0.241,0.193,0.227,0.34,0.23,0.259,0.246,0.191,0.329,0.307,0.29,0.282,0.255,0.249
"P6_1",0.504,0.346,1,0.319,0.332,0.447,0.498,0.291,0.298,0.291,0.27,0.28,0.46,0.361,0.38,0.376,0.436,0.291,0.272,0.318,0.211,0.215,0.222,0.183,0.357,0.557,0.485,0.472,0.557,0.334
"P6_2",0.343,0.293,0.319,1,0.295,0.334,0.287,0.183,0.187,0.194,0.164,0.244,0.264,0.4,0.326,0.205,0.253,0.307,0.255,0.271,0.226,0.195,0.189,0.138,0.376,0.272,0.246,0.25,0.304,0.256
"P6_5",0.398,0.466,0.332,0.295,1,0.32,0.342,0.259,0.246,0.232,0.229,0.295,0.347,0.312,0.306,0.256,0.313,0.269,0.278,0.297,0.187,0.234,0.254,0.201,0.285,0.298,0.295,0.236,0.324,0.266
"P7_2",0.464,0.322,0.447,0.334,0.32,1,0.59,0.261,0.255,0.281,0.265,0.34,0.444,0.519,0.514,0.375,0.458,0.306,0.33,0.358,0.236,0.209,0.237,0.195,0.503,0.501,0.45,0.531,0.562,0.459
"P8_1",0.563,0.292,0.498,0.287,0.342,0.59,1,0.227,0.204,0.24,0.218,0.219,0.565,0.471,0.442,0.295,0.576,0.27,0.294,0.343,0.176,0.211,0.243,0.181,0.413,0.535,0.43,0.464,0.666,0.395
"P13_13",0.21,0.225,0.291,0.183,0.259,0.261,0.227,1,0.804,0.751,0.685,0.181,0.199,0.278,0.228,0.29,0.286,0.217,0.216,0.256,0.606,0.562,0.574,0.426,0.273,0.321,0.269,0.254,0.268,0.257
"P13_14",0.188,0.201,0.298,0.187,0.246,0.255,0.204,0.804,1,0.799,0.741,0.183,0.214,0.222,0.141,0.263,0.308,0.208,0.219,0.261,0.587,0.589,0.566,0.432,0.236,0.274,0.271,0.23,0.24,0.241
"P13_15",0.207,0.239,0.291,0.194,0.232,0.281,0.24,0.751,0.799,1,0.742,0.223,0.209,0.213,0.195,0.27,0.296,0.15,0.227,0.278,0.615,0.587,0.549,0.441,0.294,0.277,0.228,0.23,0.232,0.25
"P13_16",0.188,0.196,0.27,0.164,0.229,0.265,0.218,0.685,0.741,0.742,1,0.148,0.2,0.259,0.191,0.252,0.297,0.165,0.223,0.235,0.589,0.551,0.563,0.431,0.275,0.243,0.238,0.241,0.254,0.286
"P3_4",0.356,0.29,0.28,0.244,0.295,0.34,0.219,0.181,0.183,0.223,0.148,1,0.282,0.304,0.266,0.261,0.288,0.299,0.268,0.3,0.158,0.181,0.139,0.204,0.183,0.227,0.201,0.209,0.24,0.329
"P5_6",0.618,0.321,0.46,0.264,0.347,0.444,0.565,0.199,0.214,0.209,0.2,0.282,1,0.367,0.393,0.344,0.619,0.299,0.291,0.36,0.194,0.167,0.222,0.188,0.348,0.467,0.387,0.43,0.544,0.256
"P7_4",0.416,0.301,0.361,0.4,0.312,0.519,0.471,0.278,0.222,0.213,0.259,0.304,0.367,1,0.637,0.368,0.396,0.3,0.397,0.468,0.246,0.299,0.262,0.234,0.503,0.435,0.405,0.453,0.46,0.47
"P7_5",0.395,0.285,0.38,0.326,0.306,0.514,0.442,0.228,0.141,0.195,0.191,0.266,0.393,0.637,1,0.43,0.384,0.342,0.418,0.443,0.211,0.231,0.254,0.225,0.42,0.444,0.393,0.443,0.459,0.461
"P11_1",0.372,0.261,0.376,0.205,0.256,0.375,0.295,0.29,0.263,0.27,0.252,0.261,0.344,0.368,0.43,1,0.445,0.38,0.464,0.48,0.185,0.229,0.26,0.244,0.294,0.403,0.423,0.472,0.385,0.409
"P11_2",0.572,0.241,0.436,0.253,0.313,0.458,0.576,0.286,0.308,0.296,0.297,0.288,0.619,0.396,0.384,0.445,1,0.302,0.326,0.387,0.219,0.253,0.257,0.193,0.295,0.488,0.398,0.467,0.562,0.321
"P11_3",0.287,0.193,0.291,0.307,0.269,0.306,0.27,0.217,0.208,0.15,0.165,0.299,0.299,0.3,0.342,0.38,0.302,1,0.509,0.4,0.194,0.165,0.182,0.182,0.28,0.27,0.3,0.249,0.297,0.335
"P11_4",0.292,0.227,0.272,0.255,0.278,0.33,0.294,0.216,0.219,0.227,0.223,0.268,0.291,0.397,0.418,0.464,0.326,0.509,1,0.501,0.218,0.175,0.212,0.185,0.372,0.298,0.258,0.289,0.317,0.308
"P11_5",0.303,0.34,0.318,0.271,0.297,0.358,0.343,0.256,0.261,0.278,0.235,0.3,0.36,0.468,0.443,0.48,0.387,0.4,0.501,1,0.3,0.224,0.275,0.255,0.376,0.341,0.32,0.292,0.32,0.388
"P13_5",0.216,0.23,0.211,0.226,0.187,0.236,0.176,0.606,0.587,0.615,0.589,0.158,0.194,0.246,0.211,0.185,0.219,0.194,0.218,0.3,1,0.587,0.575,0.471,0.251,0.228,0.241,0.188,0.276,0.222
"P13_6",0.167,0.259,0.215,0.195,0.234,0.209,0.211,0.562,0.589,0.587,0.551,0.181,0.167,0.299,0.231,0.229,0.253,0.165,0.175,0.224,0.587,1,0.628,0.466,0.187,0.207,0.228,0.218,0.202,0.174
"P13_7",0.235,0.246,0.222,0.189,0.254,0.237,0.243,0.574,0.566,0.549,0.563,0.139,0.222,0.262,0.254,0.26,0.257,0.182,0.212,0.275,0.575,0.628,1,0.475,0.239,0.229,0.222,0.245,0.217,0.18
"P13_8",0.201,0.191,0.183,0.138,0.201,0.195,0.181,0.426,0.432,0.441,0.431,0.204,0.188,0.234,0.225,0.244,0.193,0.182,0.185,0.255,0.471,0.466,0.475,1,0.188,0.219,0.232,0.192,0.243,0.201
