"","P5_1","P5_2","P5_3","P6_3","P6_4","P7_1","P7_3","P8_2","P13_9","P13_11","P3_1","P3_2","P3_3","P3_5","P3_6","P3_7","P3_8","P8_3","P8_4","P8_5","P13_1","P13_2","P13_3","P13_4","P9_1","P9_2","P9_3","P9_4","P9_5","P9_6"
"P5_1",1,0.488,0.358,0.272,0.338,0.259,0.278,0.231,0.206,0.25,0.26,0.207,0.209,0.238,0.245,0.311,0.206,0.241,0.248,0.236,0.218,0.21,0.266,0.221,0.306,0.24,0.199,0.221,0.213,0.307
"P5_2",0.488,1,0.352,0.205,0.431,0.285,0.255,0.28,0.214,0.259,0.254,0.204,0.218,0.206,0.197,0.225,0.224,0.284,0.264,0.27,0.23,0.26,0.252,0.225,0.353,0.3,0.252,0.253,0.225,0.27
"P5_3",0.358,0.352,1,0.411,0.331,0.271,0.316,0.214,0.199,0.232,0.254,0.243,0.206,0.302,0.303,0.288,0.188,0.286,0.25,0.288,0.221,0.189,0.241,0.192,0.354,0.352,0.314,0.285,0.375,0.269
"P6_3",0.272,0.205,0.411,1,0.422,0.39,0.527,0.425,0.222,0.263,0.238,0.29,0.185,0.3,0.317,0.318,0.207,0.356,0.367,0.369,0.192,0.158,0.207,0.182,0.344,0.461,0.371,0.382,0.411,0.324
"P6_4",0.338,0.431,0.331,0.422,1,0.437,0.431,0.406,0.196,0.23,0.262,0.195,0.213,0.267,0.255,0.276,0.229,0.356,0.406,0.285,0.206,0.233,0.233,0.208,0.299,0.37,0.31,0.315,0.369,0.307
"P7_1",0.259,0.285,0.271,0.39,0.437,1,0.476,0.582,0.251,0.273,0.285,0.263,0.224,0.271,0.25,0.37,0.177,0.372,0.455,0.334,0.277,0.207,0.244,0.249,0.349,0.497,0.355,0.419,0.484,0.358
"P7_3",0.278,0.255,0.316,0.527,0.431,0.476,1,0.482,0.241,0.283,0.247,0.23,0.162,0.246,0.254,0.289,0.259,0.442,0.467,0.385,0.206,0.219,0.216,0.213,0.472,0.455,0.396,0.426,0.476,0.369
"P8_2",0.231,0.28,0.214,0.425,0.406,0.582,0.482,1,0.185,0.286,0.241,0.295,0.245,0.317,0.235,0.278,0.219,0.454,0.703,0.437,0.193,0.202,0.257,0.226,0.36,0.572,0.473,0.471,0.716,0.334
"P13_9",0.206,0.214,0.199,0.222,0.196,0.251,0.241,0.185,1,0.663,0.193,0.175,0.213,0.195,0.181,0.267,0.156,0.171,0.188,0.206,0.533,0.57,0.518,0.561,0.301,0.29,0.216,0.222,0.223,0.277
"P13_11",0.25,0.259,0.232,0.263,0.23,0.273,0.283,0.286,0.663,1,0.204,0.214,0.239,0.169,0.19,0.24,0.153,0.21,0.181,0.237,0.558,0.539,0.584,0.557,0.277,0.275,0.228,0.231,0.246,0.236
"P3_1",0.26,0.254,0.254,0.238,0.262,0.285,0.247,0.241,0.193,0.204,1,0.452,0.378,0.361,0.421,0.526,0.223,0.328,0.28,0.253,0.159,0.196,0.175,0.144,0.281,0.208,0.268,0.292,0.225,0.244
"P3_2",0.207,0.204,0.243,0.29,0.195,0.263,0.23,0.295,0.175,0.214,0.452,1,0.654,0.375,0.375,0.404,0.278,0.288,0.19,0.22,0.214,0.196,0.213,0.157,0.243,0.239,0.281,0.291,0.246,0.293
"P3_3",0.209,0.218,0.206,0.185,0.213,0.224,0.162,0.245,0.213,0.239,0.378,0.654,1,0.292,0.281,0.375,0.281,0.215,0.215,0.225,0.258,0.208,0.226,0.21,0.218,0.182,0.188,0.233,0.225,0.21
